Episode: 142, total numsteps: 13775, episode steps: 0, reward: -188.18
Episode: 143, total numsteps: 13847, episode steps: 0, reward: -112.21
Episode: 144, total numsteps: 13920, episode steps: 0, reward: -52.29
Episode: 145, total numsteps: 14026, episode steps: 0, reward: -184.12
Episode: 146, total numsteps: 14135, episode steps: 0, reward: -179.13
Episode: 147, total numsteps: 14240, episode steps: 0, reward: -140.83
Episode: 148, total numsteps: 14335, episode steps: 0, reward: -571.62
Episode: 149, total numsteps: 14407, episode steps: 0, reward: -129.67
Episode: 150, total numsteps: 14516, episode steps: 0, reward: -130.2
Episode: 151, total numsteps: 14621, episode steps: 0, reward: -113.49
Episode: 152, total numsteps: 14686, episode steps: 0, reward: -67.47
Episode: 153, total numsteps: 14787, episode steps: 0, reward: -364.47
Episode: 154, total numsteps: 14891, episode steps: 0, reward: -383.92
Episode: 155, total numsteps: 14982, episode steps: 0, reward: -123.14
Episode: 156, total numsteps: 15063, episode steps: 0, reward: -207.85
Episode: 157, total numsteps: 15142, episode steps: 0, reward: -259.73
Episode: 158, total numsteps: 15222, episode steps: 0, reward: -127.77
Episode: 159, total numsteps: 15283, episode steps: 0, reward: -65.3
Episode: 160, total numsteps: 15346, episode steps: 0, reward: -106.35
Episode: 161, total numsteps: 15434, episode steps: 0, reward: -177.36
Episode: 162, total numsteps: 15493, episode steps: 0, reward: -95.88
Episode: 163, total numsteps: 15565, episode steps: 0, reward: -89.56
Episode: 164, total numsteps: 15662, episode steps: 0, reward: -319.55
Episode: 165, total numsteps: 15779, episode steps: 0, reward: -108.14
Episode: 166, total numsteps: 15911, episode steps: 0, reward: -339.9
Episode: 167, total numsteps: 15976, episode steps: 0, reward: -57.75
Episode: 168, total numsteps: 16101, episode steps: 0, reward: -110.19
Episode: 169, total numsteps: 16165, episode steps: 0, reward: -122.26
Episode: 170, total numsteps: 16231, episode steps: 0, reward: 10.28
Episode: 171, total numsteps: 16355, episode steps: 0, reward: -352.86
Episode: 172, total numsteps: 16480, episode steps: 0, reward: -459.54
Episode: 173, total numsteps: 16580, episode steps: 0, reward: -281.96
Episode: 174, total numsteps: 16673, episode steps: 0, reward: -216.24
Episode: 175, total numsteps: 16778, episode steps: 0, reward: -188.1
Episode: 176, total numsteps: 16872, episode steps: 0, reward: -99.1
Episode: 177, total numsteps: 16960, episode steps: 0, reward: -108.52
Episode: 178, total numsteps: 17064, episode steps: 0, reward: -305.41
Episode: 179, total numsteps: 17144, episode steps: 0, reward: -223.18
Episode: 180, total numsteps: 17273, episode steps: 0, reward: -36.29
Episode: 181, total numsteps: 17368, episode steps: 0, reward: -144.28
Episode: 182, total numsteps: 17482, episode steps: 0, reward: -490.53
Episode: 183, total numsteps: 17598, episode steps: 0, reward: -238.99
Episode: 184, total numsteps: 17669, episode steps: 0, reward: -176.33
Episode: 185, total numsteps: 17743, episode steps: 0, reward: -198.1
Episode: 186, total numsteps: 17846, episode steps: 0, reward: -109.83
Episode: 187, total numsteps: 17920, episode steps: 0, reward: -119.73
Episode: 188, total numsteps: 18023, episode steps: 0, reward: -347.32
Episode: 189, total numsteps: 18088, episode steps: 0, reward: -117.09
Episode: 190, total numsteps: 18170, episode steps: 0, reward: -147.04
Episode: 191, total numsteps: 18224, episode steps: 0, reward: -87.58
Episode: 192, total numsteps: 18317, episode steps: 0, reward: -120.08
Episode: 193, total numsteps: 18431, episode steps: 0, reward: -136.8
Episode: 194, total numsteps: 18523, episode steps: 0, reward: -231.98
Episode: 195, total numsteps: 18597, episode steps: 0, reward: -122.95
Episode: 196, total numsteps: 18709, episode steps: 0, reward: -96.6
Episode: 197, total numsteps: 18766, episode steps: 0, reward: -179.1
Episode: 198, total numsteps: 18850, episode steps: 0, reward: -136.07
Episode: 199, total numsteps: 18913, episode steps: 0, reward: -93.15
Episode: 200, total numsteps: 19021, episode steps: 0, reward: -99.58
Episode: 201, total numsteps: 19078, episode steps: 0, reward: -189.7
Episode: 202, total numsteps: 19143, episode steps: 0, reward: -220.81
Episode: 203, total numsteps: 19233, episode steps: 0, reward: -184.19
Episode: 204, total numsteps: 19309, episode steps: 0, reward: -109.33
Episode: 205, total numsteps: 19384, episode steps: 0, reward: -230.84
Episode: 206, total numsteps: 19455, episode steps: 0, reward: -116.88
Episode: 207, total numsteps: 19554, episode steps: 0, reward: -221.28
Episode: 208, total numsteps: 19639, episode steps: 0, reward: -114.56
Episode: 209, total numsteps: 19748, episode steps: 0, reward: -121.32
Episode: 210, total numsteps: 19809, episode steps: 0, reward: -83.47
Episode: 211, total numsteps: 19868, episode steps: 0, reward: -120.54
Episode: 212, total numsteps: 19959, episode steps: 0, reward: -219.43
Episode: 213, total numsteps: 20047, episode steps: 0, reward: -323.11
Episode: 214, total numsteps: 20118, episode steps: 0, reward: -158.77
Episode: 215, total numsteps: 20216, episode steps: 0, reward: -284.34
Episode: 216, total numsteps: 20277, episode steps: 0, reward: -126.04
Episode: 217, total numsteps: 20359, episode steps: 0, reward: -178.61
Episode: 218, total numsteps: 20429, episode steps: 0, reward: -93.63
Episode: 219, total numsteps: 20512, episode steps: 0, reward: -409.6
Episode: 220, total numsteps: 20586, episode steps: 0, reward: -118.8
Episode: 221, total numsteps: 20657, episode steps: 0, reward: -96.63
Episode: 222, total numsteps: 20742, episode steps: 0, reward: -323.88
Episode: 223, total numsteps: 20817, episode steps: 0, reward: -164.65
Episode: 224, total numsteps: 20875, episode steps: 0, reward: -109.79
Episode: 225, total numsteps: 20959, episode steps: 0, reward: -100.26
Episode: 226, total numsteps: 21058, episode steps: 0, reward: -232.68
Episode: 227, total numsteps: 21141, episode steps: 0, reward: -254.05
Episode: 228, total numsteps: 21234, episode steps: 0, reward: -280.97
Episode: 229, total numsteps: 21348, episode steps: 0, reward: -167.9
Episode: 230, total numsteps: 21422, episode steps: 0, reward: -95.67
Episode: 231, total numsteps: 21521, episode steps: 0, reward: -133.29
Episode: 232, total numsteps: 21625, episode steps: 0, reward: -265.29
Episode: 233, total numsteps: 21712, episode steps: 0, reward: -131.32
Episode: 234, total numsteps: 21773, episode steps: 0, reward: -113.72
Episode: 235, total numsteps: 21842, episode steps: 0, reward: -89.11
Episode: 236, total numsteps: 21917, episode steps: 0, reward: -122.56
Episode: 237, total numsteps: 22018, episode steps: 0, reward: -182.7
Episode: 238, total numsteps: 22078, episode steps: 0, reward: -57.85
Episode: 239, total numsteps: 22191, episode steps: 0, reward: -179.3
Episode: 240, total numsteps: 22285, episode steps: 0, reward: -161.41
Episode: 241, total numsteps: 22384, episode steps: 0, reward: -347.3
Episode: 242, total numsteps: 22481, episode steps: 0, reward: -295.89
Episode: 243, total numsteps: 22591, episode steps: 0, reward: -183.8
Episode: 244, total numsteps: 22689, episode steps: 0, reward: -142.46
Episode: 245, total numsteps: 22757, episode steps: 0, reward: -123.22
Episode: 246, total numsteps: 22848, episode steps: 0, reward: -116.11
Episode: 247, total numsteps: 22954, episode steps: 0, reward: -103.65
Episode: 248, total numsteps: 23060, episode steps: 0, reward: -121.69
Episode: 249, total numsteps: 23158, episode steps: 0, reward: -192.04
Episode: 250, total numsteps: 23237, episode steps: 0, reward: -253.37
Episode: 251, total numsteps: 23340, episode steps: 0, reward: -51.76
Episode: 252, total numsteps: 23441, episode steps: 0, reward: -160.3
Episode: 253, total numsteps: 23510, episode steps: 0, reward: -108.37
Episode: 254, total numsteps: 23593, episode steps: 0, reward: -151.94
Episode: 255, total numsteps: 23690, episode steps: 0, reward: -193.97
Episode: 256, total numsteps: 23779, episode steps: 0, reward: -46.52
Episode: 257, total numsteps: 23858, episode steps: 0, reward: -144.64
Episode: 258, total numsteps: 23954, episode steps: 0, reward: -206.39
Episode: 259, total numsteps: 24019, episode steps: 0, reward: -116.27
Episode: 260, total numsteps: 24096, episode steps: 0, reward: -145.54
Episode: 261, total numsteps: 24194, episode steps: 0, reward: -241.52
Episode: 262, total numsteps: 24298, episode steps: 0, reward: -300.87
Episode: 263, total numsteps: 24386, episode steps: 0, reward: -111.1
Episode: 264, total numsteps: 24448, episode steps: 0, reward: -199.05
Episode: 265, total numsteps: 24542, episode steps: 0, reward: -140.52
Episode: 266, total numsteps: 24624, episode steps: 0, reward: -157.46
Episode: 267, total numsteps: 24716, episode steps: 0, reward: -148.56
Episode: 268, total numsteps: 24800, episode steps: 0, reward: -199.29
Episode: 269, total numsteps: 24859, episode steps: 0, reward: -112.69
Episode: 270, total numsteps: 24965, episode steps: 0, reward: -386.43
Episode: 271, total numsteps: 25054, episode steps: 0, reward: -226.99
Episode: 272, total numsteps: 25136, episode steps: 0, reward: -129.18
Episode: 273, total numsteps: 25192, episode steps: 0, reward: -91.11
Episode: 274, total numsteps: 25267, episode steps: 0, reward: -151.18
Episode: 275, total numsteps: 25327, episode steps: 0, reward: -142.69
Episode: 276, total numsteps: 25417, episode steps: 0, reward: -159.33
Episode: 277, total numsteps: 25488, episode steps: 0, reward: -131.88
Episode: 278, total numsteps: 25555, episode steps: 0, reward: -130.65
Episode: 279, total numsteps: 25643, episode steps: 0, reward: -217.92
Episode: 280, total numsteps: 25702, episode steps: 0, reward: -99.91
Episode: 281, total numsteps: 25786, episode steps: 0, reward: -226.51
Episode: 282, total numsteps: 25874, episode steps: 0, reward: -107.8
Episode: 283, total numsteps: 25980, episode steps: 0, reward: -61.67
Episode: 284, total numsteps: 26065, episode steps: 0, reward: -243.02
Episode: 285, total numsteps: 26150, episode steps: 0, reward: -164.0
Episode: 286, total numsteps: 26209, episode steps: 0, reward: -83.14
Episode: 287, total numsteps: 26302, episode steps: 0, reward: -136.87
Episode: 288, total numsteps: 26400, episode steps: 0, reward: -194.7
Episode: 289, total numsteps: 26488, episode steps: 0, reward: -291.36
Episode: 290, total numsteps: 26577, episode steps: 0, reward: -113.97
Episode: 291, total numsteps: 26660, episode steps: 0, reward: -112.09
Episode: 292, total numsteps: 26760, episode steps: 0, reward: -325.81
Episode: 293, total numsteps: 26834, episode steps: 0, reward: -116.38
Episode: 294, total numsteps: 26913, episode steps: 0, reward: -146.3
Episode: 295, total numsteps: 27017, episode steps: 0, reward: -274.59
Episode: 296, total numsteps: 27076, episode steps: 0, reward: -139.95
Episode: 297, total numsteps: 27161, episode steps: 0, reward: -158.7
Episode: 298, total numsteps: 27243, episode steps: 0, reward: -154.3
Episode: 299, total numsteps: 27317, episode steps: 0, reward: -141.27
Episode: 300, total numsteps: 27400, episode steps: 0, reward: -189.26
Episode: 301, total numsteps: 27476, episode steps: 0, reward: -200.09
Episode: 302, total numsteps: 27564, episode steps: 0, reward: -150.32
Episode: 303, total numsteps: 27666, episode steps: 0, reward: -148.54
Episode: 304, total numsteps: 27752, episode steps: 0, reward: -262.94
Episode: 305, total numsteps: 27813, episode steps: 0, reward: -161.03
Episode: 306, total numsteps: 27877, episode steps: 0, reward: -79.67
Episode: 307, total numsteps: 27943, episode steps: 0, reward: -127.19
Episode: 308, total numsteps: 28037, episode steps: 0, reward: -231.81
Episode: 309, total numsteps: 28124, episode steps: 0, reward: -217.22
Episode: 310, total numsteps: 28229, episode steps: 0, reward: -98.04
Episode: 311, total numsteps: 28316, episode steps: 0, reward: -249.32
Episode: 312, total numsteps: 28382, episode steps: 0, reward: -107.64
Episode: 313, total numsteps: 28453, episode steps: 0, reward: -129.82
Episode: 314, total numsteps: 28535, episode steps: 0, reward: -119.92
Episode: 315, total numsteps: 28598, episode steps: 0, reward: -18.91
Episode: 316, total numsteps: 28683, episode steps: 0, reward: -110.98
Episode: 317, total numsteps: 28741, episode steps: 0, reward: -114.5
Episode: 318, total numsteps: 28803, episode steps: 0, reward: -124.25
Episode: 319, total numsteps: 28874, episode steps: 0, reward: -220.55
Episode: 320, total numsteps: 28969, episode steps: 0, reward: -154.92
Episode: 321, total numsteps: 29065, episode steps: 0, reward: -191.37
Episode: 322, total numsteps: 29128, episode steps: 0, reward: -195.97
Episode: 323, total numsteps: 29194, episode steps: 0, reward: -142.42
Episode: 324, total numsteps: 29296, episode steps: 0, reward: -244.7
Episode: 325, total numsteps: 29371, episode steps: 0, reward: -144.39
Episode: 326, total numsteps: 29474, episode steps: 0, reward: -216.21
Episode: 327, total numsteps: 29572, episode steps: 0, reward: -138.49
Episode: 328, total numsteps: 29672, episode steps: 0, reward: -265.68
Episode: 329, total numsteps: 29734, episode steps: 0, reward: -145.58
Episode: 330, total numsteps: 29824, episode steps: 0, reward: -139.83
Episode: 331, total numsteps: 29912, episode steps: 0, reward: -132.21
Episode: 332, total numsteps: 30008, episode steps: 0, reward: -131.85
Episode: 333, total numsteps: 30099, episode steps: 0, reward: -56.3
Episode: 334, total numsteps: 30173, episode steps: 0, reward: -170.92
Episode: 335, total numsteps: 30265, episode steps: 0, reward: -158.7
Episode: 336, total numsteps: 30326, episode steps: 0, reward: -135.29
Episode: 337, total numsteps: 30382, episode steps: 0, reward: -133.02
Episode: 338, total numsteps: 30472, episode steps: 0, reward: -178.45
Episode: 339, total numsteps: 30549, episode steps: 0, reward: -110.44
Episode: 340, total numsteps: 30623, episode steps: 0, reward: -160.12
Episode: 341, total numsteps: 30708, episode steps: 0, reward: -145.82
Episode: 342, total numsteps: 30797, episode steps: 0, reward: -147.86
Episode: 343, total numsteps: 30879, episode steps: 0, reward: -153.94
Episode: 344, total numsteps: 30939, episode steps: 0, reward: -121.21
Episode: 345, total numsteps: 31009, episode steps: 0, reward: -137.67
Episode: 346, total numsteps: 31066, episode steps: 0, reward: -87.91
Episode: 347, total numsteps: 31138, episode steps: 0, reward: -117.51
Episode: 348, total numsteps: 31212, episode steps: 0, reward: -156.98
Episode: 349, total numsteps: 31298, episode steps: 0, reward: -163.4
Episode: 350, total numsteps: 31386, episode steps: 0, reward: -166.21
Episode: 351, total numsteps: 31445, episode steps: 0, reward: -153.02
Episode: 352, total numsteps: 31551, episode steps: 0, reward: -172.51
Episode: 353, total numsteps: 31627, episode steps: 0, reward: -114.92
Episode: 354, total numsteps: 31706, episode steps: 0, reward: -165.04
Episode: 355, total numsteps: 31779, episode steps: 0, reward: -4.24
Episode: 356, total numsteps: 31848, episode steps: 0, reward: -153.27
Episode: 357, total numsteps: 31921, episode steps: 0, reward: -175.56
Episode: 358, total numsteps: 32003, episode steps: 0, reward: -244.62
Episode: 359, total numsteps: 32058, episode steps: 0, reward: -131.72
Episode: 360, total numsteps: 32145, episode steps: 0, reward: -188.32
Episode: 361, total numsteps: 32204, episode steps: 0, reward: -88.68
Episode: 362, total numsteps: 32300, episode steps: 0, reward: -151.27
Episode: 363, total numsteps: 32383, episode steps: 0, reward: -129.75
Episode: 364, total numsteps: 32452, episode steps: 0, reward: -200.29
Episode: 365, total numsteps: 32552, episode steps: 0, reward: -56.38
Episode: 366, total numsteps: 32634, episode steps: 0, reward: -117.5
Episode: 367, total numsteps: 32733, episode steps: 0, reward: -91.75
Episode: 368, total numsteps: 32842, episode steps: 0, reward: -105.62
Episode: 369, total numsteps: 32905, episode steps: 0, reward: -102.32
Episode: 370, total numsteps: 32966, episode steps: 0, reward: -102.87
Episode: 371, total numsteps: 33024, episode steps: 0, reward: -92.78
Episode: 372, total numsteps: 33102, episode steps: 0, reward: -143.02
Episode: 373, total numsteps: 33162, episode steps: 0, reward: -100.42
Episode: 374, total numsteps: 33218, episode steps: 0, reward: -122.5
Episode: 375, total numsteps: 33277, episode steps: 0, reward: -123.47
Episode: 376, total numsteps: 33345, episode steps: 0, reward: -164.44
